id,lat,lon,class,confidence,frames,sigma_m,spread_m,consistency,trusted
1,28.2934475,112.9973979,car,0.375,5,0.7,1.56,0.45,yes
2,28.2934702,112.9969962,truck,0.283,4,0.51,1.02,0.23,yes
3,28.2936484,112.9971179,car,0.28,4,0.41,0.83,0.21,yes
4,28.2929151,112.9971693,car,0.36,4,0.71,1.42,0.26,yes
5,28.2934303,112.9974228,car,0.419,4,0.28,0.56,0.2,yes
6,28.2940678,112.9979423,car,0.267,3,0.7,1.22,0.25,yes
7,28.2935514,112.9973212,car,0.317,3,0.42,0.72,0.2,yes
8,28.2933994,112.9970425,car,0.425,3,0.21,0.37,0.08,yes
9,28.292881,112.997285,car,0.287,3,0.63,1.1,0.25,yes
10,28.2934554,112.9974582,car,0.26,3,0.48,0.82,0.33,yes
11,28.2935016,112.997408,car,0.295,3,0.83,1.45,0.44,yes
12,28.2935989,112.9975429,car,0.339,3,0.53,0.92,0.3,yes
13,28.2936937,112.9977959,car,0.266,3,0.74,1.29,0.41,yes
14,28.2936392,112.9973893,car,0.346,3,0.64,1.11,0.34,yes
