name,latitude,longitude,wkt,street,side,length_m,est_spaces,zone
Northeast Miami Place (left),25.7900040,-80.1931554,"POLYGON((-80.1931258 25.7894434, -80.1931591 25.7905652, -80.1931850 25.7905646, -80.1931517 25.7894428, -80.1931258 25.7894434))",Northeast Miami Place,left,124.9,16,
Northeast Miami Place (right),25.7900062,-80.1930637,"POLYGON((-80.1930341 25.7894456, -80.1930674 25.7905674, -80.1930933 25.7905668, -80.1930600 25.7894450, -80.1930341 25.7894456))",Northeast Miami Place,right,124.9,16,
Northeast Miami Place (left),25.7915431,-80.1931960,"POLYGON((-80.1931591 25.7905653, -80.1932069 25.7925213, -80.1932328 25.7925208, -80.1931850 25.7905648, -80.1931591 25.7905653))",Northeast Miami Place,left,217.8,30,
Northeast Miami Place (right),25.7915449,-80.1931042,"POLYGON((-80.1930674 25.7905672, -80.1931152 25.7925232, -80.1931411 25.7925227, -80.1930933 25.7905667, -80.1930674 25.7905672))",Northeast Miami Place,right,217.8,30,
way/11112487 (left),25.7686087,-80.1921915,"POLYGON((-80.1922133 25.7683616, -80.1921440 25.7688529, -80.1921697 25.7688558, -80.1922390 25.7683645, -80.1922133 25.7683616))",way/11112487,left,55.1,5,
way/11112487 (right),25.7685983,-80.1921005,"POLYGON((-80.1921223 25.7683512, -80.1920530 25.7688425, -80.1920787 25.7688454, -80.1921480 25.7683541, -80.1921223 25.7683512))",way/11112487,right,55.1,5,
Northeast 8th Street (left),25.7820369,-80.1889985,"POLYGON((-80.1892931 25.7820168, -80.1887030 25.7820336, -80.1887039 25.7820570, -80.1892940 25.7820402, -80.1892931 25.7820168))",Northeast 8th Street,left,59.2,6,
Northeast 8th Street (right),25.7819543,-80.1889956,"POLYGON((-80.1892902 25.7819342, -80.1887001 25.7819510, -80.1887010 25.7819744, -80.1892911 25.7819576, -80.1892902 25.7819342))",Northeast 8th Street,right,59.2,6,
Northeast 17th Street (left),25.7913487,-80.1901033,"POLYGON((-80.1907096 25.7913256, -80.1894964 25.7913484, -80.1894969 25.7913718, -80.1907101 25.7913490, -80.1907096 25.7913256))",Northeast 17th Street,left,121.6,15,
Northeast 17th Street (right),25.7912661,-80.1901013,"POLYGON((-80.1907077 25.7912430, -80.1894945 25.7912658, -80.1894950 25.7912892, -80.1907082 25.7912664, -80.1907077 25.7912430))",Northeast 17th Street,right,121.6,15,
Northwest South River Drive (left),25.7753378,-80.2035115,"POLYGON((-80.2028677 25.7749006, -80.2041392 25.7757934, -80.2041552 25.7757750, -80.2028837 25.7748822, -80.2028677 25.7749006))",Northwest South River Drive,left,161.6,21,
Northwest South River Drive (right),25.7754030,-80.2034550,"POLYGON((-80.2028113 25.7749658, -80.2040828 25.7758586, -80.2040988 25.7758402, -80.2028273 25.7749474, -80.2028113 25.7749658))",Northwest South River Drive,right,161.6,21,
Northwest South River Drive (left),25.7762724,-80.2044511,"POLYGON((-80.2041471 25.7758018, -80.2047323 25.7767543, -80.2047550 25.7767430, -80.2041698 25.7757905, -80.2041471 25.7758018))",Northwest South River Drive,left,121.2,15,
Northwest South River Drive (right),25.7763125,-80.2043707,"POLYGON((-80.2040668 25.7758419, -80.2046520 25.7767944, -80.2046747 25.7767831, -80.2040895 25.7758306, -80.2040668 25.7758419))",Northwest South River Drive,right,121.2,15,
