name,latitude,longitude,wkt,zone,street,side,length_m,est_spaces,ambiguous_band_m,lane_offset
zone 40701 · Northwest 3rd Street (left),25.7769605,-80.1982493,"POLYGON((-80.1984619 25.7769419, -80.1980357 25.7769557, -80.1980367 25.7769792, -80.1984628 25.7769654, -80.1984619 25.7769419))",40701,Northwest 3rd Street,left,42.7,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 3rd Street (right),25.7768774,-80.1982460,"POLYGON((-80.1984596 25.7768822, -80.1980334 25.7768960, -80.1980325 25.7768725, -80.1984586 25.7768587, -80.1984596 25.7768822))",40701,Northwest 3rd Street,right,42.7,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (left),25.7773487,-80.1977835,"POLYGON((-80.1978035 25.7775377, -80.1977894 25.7771589, -80.1977635 25.7771597, -80.1977775 25.7775385, -80.1978035 25.7775377))",40701,Northwest 2nd Avenue,left,41.9,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (right),25.7773459,-80.1978752,"POLYGON((-80.1978693 25.7775357, -80.1978552 25.7771569, -80.1978812 25.7771561, -80.1978952 25.7775349, -80.1978693 25.7775357))",40701,Northwest 2nd Avenue,right,41.9,6,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (left),25.7783767,-80.1978279,"POLYGON((-80.1978520 25.7786782, -80.1978296 25.7780744, -80.1978037 25.7780752, -80.1978261 25.7786790, -80.1978520 25.7786782))",40701,Northwest 2nd Avenue,left,66.8,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (right),25.7783739,-80.1979196,"POLYGON((-80.1979179 25.7786762, -80.1978955 25.7780724, -80.1979214 25.7780716, -80.1979438 25.7786754, -80.1979179 25.7786762))",40701,Northwest 2nd Avenue,right,66.8,9,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 5th Street (left),25.7789316,-80.1963491,"POLYGON((-80.1965226 25.7789124, -80.1961744 25.7789272, -80.1961756 25.7789507, -80.1965238 25.7789359, -80.1965226 25.7789124))",40701,Northwest 5th Street,left,34.9,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 5th Street (right),25.7788484,-80.1963448,"POLYGON((-80.1965195 25.7788528, -80.1961713 25.7788676, -80.1961701 25.7788441, -80.1965183 25.7788293, -80.1965195 25.7788528))",40701,Northwest 5th Street,right,34.9,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (left),25.7795366,-80.1978543,"POLYGON((-80.1978732 25.7796893, -80.1978613 25.7793830, -80.1978354 25.7793838, -80.1978472 25.7796902, -80.1978732 25.7796893))",40701,Northwest 2nd Avenue,left,33.9,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 2nd Avenue (right),25.7795336,-80.1979460,"POLYGON((-80.1979390 25.7796872, -80.1979271 25.7793809, -80.1979531 25.7793800, -80.1979649 25.7796864, -80.1979390 25.7796872))",40701,Northwest 2nd Avenue,right,33.9,5,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 1st Court (left),25.7793097,-80.1968861,"POLYGON((-80.1968629 25.7790734, -80.1968834 25.7795468, -80.1969093 25.7795459, -80.1968888 25.7790725, -80.1968629 25.7790734))",40701,Northwest 1st Court,left,52.4,7,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40701 · Northwest 1st Court (right),25.7793129,-80.1967944,"POLYGON((-80.1967971 25.7790758, -80.1968176 25.7795492, -80.1967917 25.7795501, -80.1967712 25.7790767, -80.1967971 25.7790758))",40701,Northwest 1st Court,right,52.4,7,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40703 · Southeast 3rd Street (left),25.7718584,-80.1881674,"POLYGON((-80.1887488 25.7718313, -80.1875852 25.7718621, -80.1875860 25.7718856, -80.1887495 25.7718548, -80.1887488 25.7718313))",40703,Southeast 3rd Street,left,116.7,17,1.3,ASSUMED 3.3-5.9 m from centreline
zone 40703 · Southeast 3rd Street (right),25.7717753,-80.1881647,"POLYGON((-80.1887469 25.7717716, -80.1875833 25.7718024, -80.1875826 25.7717789, -80.1887461 25.7717481, -80.1887469 25.7717716))",40703,Southeast 3rd Street,right,116.7,17,1.3,ASSUMED 3.3-5.9 m from centreline
