t_s,latitude,longitude,sigma_along_m,sigma_cross_m,range_m,bearing_deg
422.75,25.7684121,-80.1919905,4.1,1.8,17.0,-22.4
423.5,25.7684157,-80.1920315,7.6,1.8,11.8,-30.7
425.5,25.7683832,-80.1919216,12.8,1.8,16.8,-22.6
426.75,25.7683756,-80.1918857,16.0,1.8,16.1,-23.6
427.5,25.7683679,-80.1918494,18.4,1.8,16.6,-22.8
429.5,25.7683593,-80.1918090,50.0,1.8,6.1,-49.1
430.0,25.7683495,-80.1917627,26.7,1.8,5.4,-52.4
430.25,25.7683383,-80.1917097,18.1,1.8,9.8,-35.5
431.75,25.7683265,-80.1916539,46.9,1.8,6.1,-48.9
432.25,25.7683154,-80.1916017,39.1,1.8,5.5,-52.1
432.75,25.7682956,-80.1915090,25.0,1.8,11.7,-30.8
433.25,25.7682804,-80.1914371,28.3,1.8,16.2,-23.3
435.25,25.7682719,-80.1913971,26.9,1.8,5.3,-52.7
435.5,25.7682566,-80.1913252,26.7,1.8,11.5,-31.4
435.5,25.7682639,-80.1913595,26.7,1.8,8.0,-41.4
437.5,25.7682257,-80.1911798,25.3,1.8,16.2,-23.3
437.5,25.7682483,-80.1912861,25.3,1.8,5.3,-53.0
437.5,25.7682335,-80.1912162,25.3,1.8,12.5,-29.3
440.5,25.7682157,-80.1911305,27.1,1.8,5.8,-50.3
441.75,25.7682077,-80.1910922,25.1,1.8,5.2,-53.6
442.0,25.7681955,-80.1910337,25.0,1.8,10.3,-34.2
444.25,25.7681847,-80.1909820,23.9,1.8,6.2,-48.7
445.25,25.7681771,-80.1909453,23.1,1.8,6.0,-49.4
446.25,25.7681688,-80.1909059,21.3,1.8,6.3,-48.1
447.75,25.7681615,-80.1908709,18.3,1.8,5.2,-53.6
449.75,25.7681540,-80.1908354,15.5,1.8,5.1,-53.7
452.75,25.7681450,-80.1907947,14.6,1.8,5.6,-51.6
455.75,25.7681370,-80.1907572,13.3,1.8,5.8,-50.2
462.5,25.7681296,-80.1907230,12.3,1.8,5.4,-52.1
465.5,25.7681207,-80.1906820,11.7,1.8,6.8,-45.8
471.0,25.7681129,-80.1906457,10.8,1.8,5.6,-51.2
475.0,25.7681041,-80.1906052,9.8,1.8,5.5,-52.0
477.25,25.7680878,-80.1905296,9.1,1.8,10.8,-32.9
478.0,25.7680965,-80.1905697,8.9,1.8,5.8,-50.1
482.25,25.7680800,-80.1904929,7.6,1.8,6.1,-49.0
487.5,25.7680657,-80.1904266,5.1,1.8,6.7,-46.4
492.0,25.7680473,-80.1903412,4.9,1.8,11.8,-30.6
494.25,25.7680570,-80.1903862,3.7,1.8,5.5,-51.9
502.0,25.7680399,-80.1903044,3.2,1.8,8.3,-40.1
502.25,25.7680222,-80.1902196,3.1,1.8,16.8,-22.6
