t_s,latitude,longitude,heading_deg,speed_ms,sigma_along_m,sigma_cross_m
420.0,25.7683653,-80.1921793,95.6,0.35,1.4,1.8
420.25,25.7683652,-80.1921784,95.6,0.37,1.5,1.8
420.5,25.7683651,-80.1921775,95.6,0.38,1.5,1.8
420.75,25.768365,-80.1921765,95.6,0.39,1.5,1.8
421.0,25.7683649,-80.1921755,95.6,0.4,1.6,1.8
421.25,25.7683649,-80.1921746,95.6,0.4,1.6,1.8
421.5,25.7683648,-80.1921736,95.6,0.4,1.6,1.8
421.75,25.7683647,-80.1921726,95.6,0.43,1.7,1.8
422.0,25.7683646,-80.1921714,95.6,0.52,2.1,1.8
422.25,25.7683644,-80.19217,95.6,0.66,2.6,1.8
422.5,25.7683643,-80.1921681,95.6,0.82,3.3,1.8
422.75,25.7683641,-80.1921659,95.6,1.02,4.1,1.8
423.0,25.7683638,-80.1921631,95.6,1.28,5.1,1.8
423.25,25.7683635,-80.1921595,95.6,1.59,6.3,1.8
423.5,25.7683631,-80.1921552,95.6,1.93,7.6,1.8
423.75,25.7683627,-80.19215,95.6,2.31,9.2,1.8
424.0,25.7683621,-80.1921437,95.6,2.69,10.7,1.8
424.25,25.7683615,-80.1921366,95.5,2.9,11.5,1.8
424.5,25.7683609,-80.1921293,95.5,2.88,11.4,1.8
424.75,25.7683602,-80.1921223,95.5,2.79,11.1,1.8
425.0,25.7683594,-80.1921155,103.2,2.8,11.2,1.8
425.25,25.768358,-80.1921086,103.2,2.99,11.9,1.8
425.5,25.7683563,-80.192101,103.2,3.22,12.8,1.8
425.75,25.7683546,-80.1920929,103.2,3.35,13.3,1.8
426.0,25.7683529,-80.1920847,103.2,3.44,13.7,1.8
426.25,25.7683511,-80.1920762,103.2,3.6,14.4,1.8
426.5,25.7683492,-80.1920672,103.2,3.83,15.3,1.8
426.75,25.7683471,-80.1920576,103.2,4.0,16.0,1.8
427.0,25.768345,-80.1920478,103.2,4.11,16.5,1.8
427.25,25.7683429,-80.1920376,103.2,4.31,17.3,1.8
427.5,25.7683406,-80.1920269,103.2,4.59,18.4,1.8
427.75,25.7683382,-80.1920154,103.2,4.8,19.2,1.8
428.0,25.7683356,-80.1920035,103.2,4.99,20.0,1.8
428.25,25.768333,-80.1919911,103.2,5.55,22.2,1.8
428.5,25.7683299,-80.1919766,103.2,6.68,26.6,1.8
428.75,25.7683261,-80.1919587,103.2,7.96,31.5,1.8
429.0,25.7683217,-80.1919379,103.2,9.15,36.2,1.8
429.25,25.7683167,-80.1919143,103.2,11.13,43.8,1.8
429.5,25.7683102,-80.1918839,103.2,12.72,50.0,1.8
429.75,25.7683036,-80.1918525,103.2,10.88,43.1,1.8
430.0,25.768299,-80.1918311,103.2,6.49,26.7,1.8
430.25,25.7682969,-80.191821,103.2,4.0,18.1,1.8
