sighting_id,ts,synthetic,video_t,latitude,longitude,heading_deg,sigma_along_m,sigma_cross_m,vehicle_class,color,size_px,zone,source
SE6-000,2025-06-02T09:07:02.750000,True,422.75,25.7684121,-80.1919905,95.6,4.1,1.8,car,green,123,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-001,2025-06-02T09:07:03.500000,True,423.5,25.7684157,-80.1920315,95.6,7.6,1.8,car,grey,156,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-002,2025-06-02T09:07:05.500000,True,425.5,25.7683832,-80.1919216,103.2,12.8,1.8,car,grey,132,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-003,2025-06-02T09:07:06.750000,True,426.75,25.7683756,-80.1918857,103.2,16.0,1.8,car,tan,129,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-004,2025-06-02T09:07:07.500000,True,427.5,25.7683679,-80.1918494,103.2,18.4,1.8,car,green,99,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-005,2025-06-02T09:07:09.500000,True,429.5,25.7683593,-80.1918090,103.2,50.0,1.8,car,black,213,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-006,2025-06-02T09:07:10,True,430.0,25.7683495,-80.1917627,103.2,26.7,1.8,car,black,204,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-007,2025-06-02T09:07:10.250000,True,430.25,25.7683383,-80.1917097,103.2,18.1,1.8,truck,grey,144,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-008,2025-06-02T09:07:11.750000,True,431.75,25.7683265,-80.1916539,103.2,46.9,1.8,truck,grey,264,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-009,2025-06-02T09:07:12.250000,True,432.25,25.7683154,-80.1916017,103.2,39.1,1.8,truck,green,201,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-010,2025-06-02T09:07:12.750000,True,432.75,25.7682956,-80.1915090,103.2,25.0,1.8,car,black,96,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-011,2025-06-02T09:07:13.250000,True,433.25,25.7682804,-80.1914371,103.2,28.3,1.8,car,grey,142,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-012,2025-06-02T09:07:15.250000,True,435.25,25.7682719,-80.1913971,103.2,26.9,1.8,car,black,228,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
SE6-013,2025-06-02T09:07:15.500000,True,435.5,25.7682566,-80.1913252,103.2,26.7,1.8,car,green,94,UNKNOWN,Magic City Driving Tour 4K @ SE 6th St eastbound
